order_id,order_datetime,pickup_area,drop_area,distance_km,estimated_time_min,order_value,festival_flag,delivery_agent_id,traffic_level,weather_condition,delivery_time_min
ORD100090,2023-10-23 09:25:00,Kurla,Andheri,1.04,10,565.69,Yes,AG92,High,Clear,8.96
ORD100091,2023-10-22 20:23:00,Thane,Goregaon,3.71,15,489.12,No,AG95,High,Foggy,17.36
ORD100092,2023-10-15 16:28:00,Goregaon,Bandra,3.92,12,992.53,No,AG93,High,Rainy,17.69
ORD100093,2023-10-04 07:14:00,Powai,Colaba,3.03,15,934.81,No,AG64,Low,Clear,8.24
ORD100094,2023-10-03 10:01:00,Andheri,Andheri,3.97,12,376.95,Yes,AG5,Medium,Clear,10.08
ORD100095,2023-10-19 17:14:00,Powai,Kurla,2.72,20,200.43,No,AG170,Low,Rainy,9.48
ORD100096,2023-10-19 07:00:00,Goregaon,Borivali,2.85,20,855.79,No,AG121,Medium,Clear,8.38
ORD100097,2023-10-03 22:40:00,Andheri,Borivali,2.42,10,997.45,Yes,AG111,High,Clear,10.21
ORD100098,2023-10-02 07:04:00,Colaba,Kurla,0.61,10,363.35,Yes,AG151,Low,Clear,3.2
ORD100099,2023-10-29 01:55:00,Thane,Andheri,0.99,15,422.01,No,AG226,Medium,Clear,4.74
ORD100100,2023-10-11 02:32:00,Thane,Colaba,0.64,12,947.47,No,AG16,Medium,Rainy,7.75
ORD100101,2023-10-08 08:42:00,Goregaon,Kurla,3.36,18,740.02,No,AG133,Low,Clear,8.2
ORD100102,2023-10-16 06:34:00,Thane,Colaba,1.91,10,366.07,Yes,AG256,Low,Clear,4.55
ORD100103,2023-10-05 23:59:00,Thane,Kurla,2.79,18,622.94,No,AG158,Low,Rainy,8.12
ORD100104,2023-10-29 18:36:00,Bandra,Bandra,4.58,18,949.81,Yes,AG246,Low,Clear,9.81
ORD100105,2023-10-16 07:50:00,Powai,Kurla,1.62,12,830.63,No,AG200,Medium,Clear,6.77
ORD100106,2023-10-16 13:12:00,Goregaon,Thane,2.35,15,767.65,No,AG156,Medium,Rainy,11.0
ORD100107,2023-10-04 03:42:00,Andheri,Borivali,3.9,12,763.3,No,AG278,Low,Clear,6.85
ORD100108,2023-10-14 11:27:00,Goregaon,Goregaon,1.53,10,260.22,No,AG148,High,Clear,9.87
ORD100109,2023-10-14 14:55:00,Thane,Thane,0.85,18,842.21,Yes,AG167,Medium,Clear,4.15
ORD100110,2023-10-24 01:43:00,Andheri,Borivali,1.8,12,348.51,Yes,AG191,Medium,Rainy,10.17
ORD100111,2023-10-21 20:06:00,Powai,Thane,1.23,12,937.33,No,AG115,Low,Clear,4.27
ORD100112,2023-10-02 12:46:00,Thane,Colaba,4.68,12,428.18,Yes,AG224,Medium,Clear,12.83
ORD100113,2023-10-11 03:15:00,Powai,Powai,4.14,10,871.89,No,AG168,Medium,Clear,13.16
ORD100114,2023-10-07 06:34:00,Thane,Powai,3.35,15,339.61,Yes,AG88,Medium,Rainy,13.7
ORD100115,2023-10-15 04:27:00,Andheri,Goregaon,4.42,12,563.07,No,AG50,Medium,Clear,11.39
ORD100116,2023-10-06 08:29:00,Goregaon,Goregaon,4.12,10,196.2,No,AG119,Low,Rainy,11.89
ORD100117,2023-10-08 02:28:00,,Andheri,1.34,18,694.11,Yes,AG274,High,Clear,8.6
ORD100118,2023-10-26 17:06:00,Bandra,Kurla,,20,852.47,No,AG116,Medium,Clear,11.69
ORD100119,2023-10-02 20:34:00,Andheri,Borivali,2.93,10,746.6,No,AG161,Medium,Foggy,13.23
ORD100120,2023-10-27 00:05:00,Borivali,Andheri,4.13,20,570.93,No,AG4,High,Clear,13.13
ORD100121,2023-10-30 07:10:00,Borivali,Goregaon,4.53,12,140.6,No,AG251,Medium,Clear,13.44
ORD100122,2023-10-14 15:30:00,Borivali,Bandra,1.93,12,940.1,No,AG42,Medium,Clear,6.9
ORD100123,2023-10-07 12:57:00,Bandra,Powai,1.0,10,734.94,No,AG71,Medium,Clear,6.35
ORD100124,2023-10-02 05:24:00,Thane,Bandra,1.53,20,771.28,No,AG148,Low,Clear,2.88
ORD100125,2023-10-01 12:16:00,Powai,Andheri,2.42,12,815.21,Yes,AG171,High,Foggy,13.66
ORD100126,2023-10-30 14:18:00,Kurla,Thane,4.18,18,772.97,No,AG179,Medium,Rainy,15.44
ORD100127,2023-10-14 22:46:00,Thane,Bandra,4.37,15,,No,AG112,Medium,Clear,11.09
ORD100128,2023-10-26 17:42:00,Borivali,Thane,0.53,15,760.26,Yes,AG53,High,Rainy,9.06
ORD100129,2023-10-23 15:09:00,Andheri,Colaba,2.8,12,662.52,No,AG86,Medium,Clear,9.76
ORD100130,2023-10-07 09:13:00,Andheri,Powai,2.38,20,868.61,No,AG29,Medium,Clear,6.95
ORD100131,2023-10-31 01:37:00,Borivali,Thane,1.5,12,822.21,Yes,AG2,High,Clear,8.98
ORD100132,2023-10-24 17:03:00,Goregaon,Powai,1.04,20,137.24,Yes,AG128,Low,Clear,2.54
ORD100133,2023-10-24 10:03:00,Thane,Kurla,2.02,18,441.0,Yes,AG202,Low,Clear,5.8
ORD100134,2023-10-02 18:30:00,Powai,Thane,4.74,20,131.24,No,AG66,Low,Rainy,13.71
ORD100135,2023-10-17 16:10:00,Thane,Powai,1.95,12,191.87,No,AG95,High,Rainy,13.81
ORD100136,2023-10-02 16:05:00,Andheri,Goregaon,2.83,18,,No,AG47,Low,Clear,5.46
ORD100137,2023-10-28 05:04:00,Bandra,Kurla,3.66,10,886.44,Yes,AG35,Medium,Clear,10.56
ORD100138,2023-10-20 02:43:00,Kurla,Thane,2.14,15,207.84,No,AG242,Low,Clear,5.37
ORD100139,2023-10-28 07:25:00,Thane,Powai,4.87,12,505.98,No,AG122,Medium,Foggy,15.99
ORD100140,2023-10-04 18:15:00,Goregaon,Bandra,4.83,12,919.79,No,AG74,Medium,Clear,11.62
ORD100141,2023-10-19 19:02:00,Colaba,Goregaon,1.63,12,832.87,No,AG238,High,Clear,9.17
ORD100142,2023-10-20 02:26:00,Goregaon,Bandra,2.74,18,567.7,No,AG254,Medium,Foggy,12.19
ORD100143,2023-10-22 18:36:00,Borivali,Andheri,1.85,10,794.41,No,AG81,Medium,Clear,7.88
ORD100144,2023-10-17 10:59:00,Thane,Powai,1.78,20,570.42,No,AG218,Medium,Clear,7.39
ORD100145,2023-10-09 06:42:00,Goregaon,Thane,0.67,10,242.28,No,AG139,Medium,Clear,3.65
ORD100146,2023-10-23 10:15:00,Kurla,Colaba,3.24,18,212.26,Yes,AG275,High,Clear,12.22
ORD100147,2023-10-09 12:08:00,Powai,Kurla,2.76,12,269.53,No,AG280,Medium,Clear,9.07
ORD100148,2023-10-22 20:19:00,Colaba,Powai,0.73,15,415.83,No,AG127,Medium,Clear,5.12
ORD100149,2023-10-15 10:59:00,Goregaon,Goregaon,1.75,12,937.48,Yes,AG178,High,Clear,10.69
ORD100150,2023-10-25 02:00:00,Kurla,Andheri,4.59,20,819.71,Yes,AG285,Medium,Clear,12.12
ORD100151,2023-10-15 19:36:00,Borivali,Goregaon,1.58,15,489.52,No,AG165,Low,Clear,4.32
ORD100152,2023-10-04 02:34:00,Powai,Bandra,1.15,12,543.77,Yes,AG165,Low,Clear,1.52
ORD100153,2023-10-07 16:16:00,Colaba,Bandra,2.7,15,339.05,No,AG284,High,Clear,10.29
ORD100154,2023-10-05 11:56:00,Bandra,Bandra,4.94,10,733.92,No,AG167,Medium,Rainy,16.79
ORD100155,2023-10-03 07:23:00,Colaba,Thane,1.59,18,822.49,No,AG88,Medium,Clear,5.09
ORD100156,2023-10-10 05:28:00,Powai,Powai,3.52,12,315.01,Yes,AG93,,Clear,11.36
ORD100157,2023-10-27 17:45:00,Colaba,Bandra,3.93,20,137.64,No,AG300,Medium,Clear,11.63
ORD100158,2023-10-10 19:51:00,Powai,Colaba,1.57,10,661.5,Yes,AG157,Medium,Clear,5.75
ORD100159,2023-10-21 16:00:00,Powai,Borivali,3.78,12,606.26,No,AG88,Medium,Clear,9.77
ORD100160,2023-10-22 17:19:00,Goregaon,Powai,2.16,10,461.92,Yes,AG178,Medium,Foggy,9.84
ORD100161,2023-10-30 21:06:00,Colaba,Powai,3.35,20,679.5,No,AG72,Medium,Clear,8.23
ORD100162,2023-10-31 04:16:00,Powai,Powai,3.35,12,595.55,Yes,AG161,Low,Rainy,10.25
ORD100163,2023-10-04 03:47:00,Thane,Goregaon,2.91,20,325.52,Yes,AG52,Low,Clear,6.68
ORD100164,2023-10-18 04:17:00,Andheri,Andheri,0.91,15,457.96,Yes,AG208,Medium,Clear,6.06
ORD100165,2023-10-10 19:13:00,Thane,Borivali,4.26,20,485.3,No,AG60,High,Rainy,17.39
ORD100166,2023-10-23 10:13:00,Powai,Powai,1.94,15,892.22,No,AG258,Medium,Clear,6.56
ORD100167,2023-10-22 20:54:00,Powai,Thane,1.34,12,964.81,Yes,AG168,High,Clear,8.39
ORD100168,2023-10-09 16:31:00,Kurla,Andheri,0.68,15,903.7,No,AG251,Medium,Clear,2.11
ORD100169,2023-10-09 01:05:00,Goregaon,Andheri,3.16,12,747.26,Yes,AG189,High,Clear,11.83
ORD100170,2023-10-21 13:53:00,Bandra,Kurla,3.55,12,626.49,No,AG44,Low,Clear,8.73
ORD100171,2023-10-09 01:00:00,Powai,Powai,0.57,18,720.34,Yes,AG230,Medium,Rainy,7.23
ORD100172,2023-10-11 04:40:00,Bandra,Powai,2.8,12,945.2,No,AG35,Medium,Clear,9.38
ORD100173,2023-10-09 05:47:00,Kurla,Andheri,1.52,15,325.0,No,AG29,Low,Foggy,9.12
ORD100174,2023-10-15 17:45:00,Goregaon,Colaba,3.4,18,581.61,No,AG173,Medium,Clear,8.15
ORD100175,2023-10-14 17:00:00,Colaba,Powai,1.28,18,720.65,Yes,AG27,High,Clear,7.91
ORD100176,2023-10-04 02:56:00,Kurla,Powai,3.61,12,711.32,Yes,AG271,Medium,Clear,11.22
ORD100177,2023-10-23 04:34:00,Bandra,Goregaon,,20,327.05,No,AG25,High,Clear,10.58
ORD100178,2023-10-02 11:37:00,Powai,Borivali,4.72,20,628.06,Yes,AG186,Medium,Clear,12.29
ORD100179,2023-10-18 04:27:00,Andheri,Thane,1.12,18,816.32,No,AG158,Medium,Clear,6.27
ORD100180,2023-10-05 01:19:00,Bandra,Colaba,2.03,12,527.57,Yes,AG48,Medium,Foggy,10.27
ORD100181,2023-10-12 01:57:00,Kurla,Goregaon,1.01,20,813.97,Yes,AG133,Low,Rainy,5.29
ORD100182,2023-10-12 06:43:00,Kurla,Colaba,4.66,12,423.89,Yes,AG230,Medium,Rainy,14.52
ORD100183,2023-10-08 21:06:00,Andheri,Powai,4.45,12,944.88,No,AG233,Medium,Clear,10.57
ORD100184,2023-10-12 17:56:00,Bandra,Bandra,1.66,18,580.54,No,AG158,High,Foggy,13.1
ORD100185,2023-10-28 13:39:00,Andheri,Goregaon,3.47,18,,No,AG138,Medium,Clear,10.12
ORD100186,2023-10-24 04:59:00,Andheri,Powai,4.18,10,128.23,Yes,AG242,,Rainy,13.32
ORD100187,2023-10-30 07:55:00,Powai,Andheri,3.0,20,253.24,No,AG118,Low,Clear,6.89
ORD100188,2023-10-06 05:56:00,Goregaon,Bandra,2.88,20,669.64,No,AG188,,Clear,11.16
ORD100189,2023-10-14 00:11:00,Bandra,Kurla,1.59,20,477.88,No,AG110,Medium,Foggy,10.1
ORD100190,2023-10-24 10:50:00,Thane,Powai,0.92,15,557.35,Yes,AG183,High,Clear,9.28
ORD100191,2023-10-30 13:51:00,Powai,Andheri,4.54,12,156.67,No,AG73,Medium,Rainy,15.17
ORD100192,2023-10-22 23:51:00,Andheri,Thane,4.55,18,850.72,No,AG153,Medium,Clear,12.21
ORD100193,2023-10-08 08:10:00,Andheri,Colaba,3.35,20,,No,AG225,Medium,Clear,11.74
ORD100194,2023-10-26 22:06:00,Bandra,Colaba,2.03,10,266.82,Yes,AG271,Medium,Rainy,9.55
ORD100195,2023-10-13 01:54:00,Borivali,Kurla,2.07,20,670.9,Yes,AG152,Medium,Clear,7.75
ORD100196,2023-10-16 07:12:00,Bandra,Kurla,3.77,12,836.48,Yes,AG58,Medium,Rainy,13.01
ORD100197,2023-10-27 14:22:00,Goregaon,Colaba,4.54,12,676.77,No,AG237,Medium,Clear,12.87
ORD100198,2023-10-10 07:14:00,Powai,Borivali,4.49,18,379.36,No,AG61,High,Clear,14.08
ORD100199,2023-10-01 21:12:00,Colaba,Kurla,4.01,15,690.5,No,AG183,Low,Clear,8.69
ORD100200,2023-10-13 10:17:00,Colaba,Thane,3.39,18,289.42,No,AG298,Medium,Clear,9.22
ORD100201,2023-10-28 02:49:00,Powai,Kurla,0.88,20,386.43,No,AG154,Low,Rainy,4.72
ORD100202,2023-10-09 11:41:00,Thane,Powai,1.23,10,316.06,No,AG293,Low,Clear,1.33
ORD100203,2023-10-17 12:43:00,Borivali,Colaba,4.54,18,601.23,No,AG236,Medium,Clear,12.49
ORD100204,2023-10-27 17:21:00,Colaba,Powai,3.23,15,197.4,No,AG103,Low,Rainy,9.82
ORD100205,2023-10-31 00:07:00,Powai,Andheri,0.54,18,939.98,No,AG134,Medium,Clear,3.81
ORD100206,2023-10-29 08:11:00,Goregaon,Goregaon,0.96,12,400.16,No,AG149,Low,Rainy,5.79
ORD100207,2023-10-19 08:02:00,Andheri,Bandra,3.49,20,297.07,No,AG105,Medium,Foggy,12.51
ORD100208,2023-10-04 19:27:00,Thane,Borivali,0.52,20,546.89,No,AG19,Low,Clear,1.65
ORD100209,2023-10-12 23:50:00,Bandra,Thane,1.22,20,349.3,No,AG171,Low,Clear,1.65
ORD100210,2023-10-11 13:38:00,Andheri,Bandra,,20,581.41,Yes,AG119,High,Clear,11.48
ORD100211,2023-10-17 03:24:00,Andheri,Kurla,3.61,20,413.66,No,AG251,Medium,Rainy,14.72
ORD100212,2023-10-29 18:12:00,Bandra,Kurla,3.43,20,218.86,Yes,AG262,High,Clear,12.32
ORD100213,2023-10-09 01:45:00,Thane,Kurla,1.51,10,339.31,Yes,AG274,Low,Rainy,5.87
ORD100214,2023-10-14 00:33:00,Bandra,Thane,3.7,15,494.6,No,AG16,Medium,Clear,9.91
ORD100215,2023-10-30 17:43:00,Kurla,Borivali,1.57,20,127.26,No,AG114,Medium,Rainy,10.71
ORD100216,2023-10-24 23:47:00,Powai,Andheri,1.96,15,793.58,No,AG100,Low,Rainy,7.47
ORD100217,2023-10-22 06:23:00,Andheri,Borivali,3.86,20,659.64,No,AG64,Medium,Foggy,13.17
ORD100218,2023-10-14 02:42:00,Goregaon,Colaba,3.42,18,641.22,Yes,AG272,Medium,Clear,8.01
ORD100219,2023-10-30 10:39:00,Andheri,Goregaon,4.32,20,591.44,Yes,AG112,Medium,Clear,11.23
ORD100220,2023-10-11 21:54:00,Goregaon,Andheri,3.46,12,631.28,No,AG216,Medium,Clear,10.73
ORD100221,2023-10-04 23:57:00,Kurla,Goregaon,3.06,10,941.19,No,AG43,,Clear,9.56
ORD100222,2023-10-10 16:19:00,Kurla,Kurla,0.92,18,107.71,Yes,AG36,Medium,Clear,5.94
ORD100223,2023-10-22 13:20:00,Powai,Powai,2.15,18,143.02,No,AG103,Medium,Foggy,11.93
ORD100224,2023-10-13 22:18:00,Borivali,Colaba,1.69,12,272.34,No,AG123,High,Rainy,12.39
ORD100225,2023-10-18 04:12:00,Thane,Powai,1.6,20,250.57,No,AG267,Medium,Clear,3.56
ORD100226,2023-10-14 21:24:00,Goregaon,Thane,4.88,10,263.08,No,AG94,Medium,Rainy,17.14
ORD100227,2023-10-22 23:57:00,Kurla,Kurla,2.27,18,704.75,No,AG219,Medium,Clear,6.08
ORD100228,2023-10-06 19:36:00,Bandra,Goregaon,4.51,10,513.53,No,AG20,Medium,Clear,14.33
ORD100229,2023-10-10 12:35:00,Colaba,Powai,3.34,18,992.6,No,AG263,Medium,Rainy,11.91
ORD100230,2023-10-27 00:19:00,Powai,Andheri,4.08,20,304.2,Yes,AG243,Low,Foggy,12.43
ORD100231,2023-10-10 06:27:00,Bandra,Goregaon,2.76,18,379.75,No,AG260,Medium,Clear,7.99
ORD100232,2023-10-26 18:38:00,Goregaon,Colaba,3.1,18,985.82,No,AG274,Medium,Rainy,12.21
ORD100233,2023-10-21 10:29:00,Bandra,Thane,2.72,15,,Yes,AG90,Medium,Rainy,10.07
ORD100234,2023-10-15 14:43:00,Thane,Colaba,1.38,20,522.82,Yes,AG286,Medium,Clear,4.88
ORD100235,2023-10-07 16:30:00,Borivali,Kurla,3.75,12,599.14,No,AG35,Medium,Clear,11.43
ORD100236,2023-10-26 23:10:00,Bandra,Colaba,1.76,12,858.86,No,AG181,High,Rainy,13.86
ORD100237,2023-10-22 02:18:00,Borivali,Colaba,0.61,20,532.88,No,AG90,Medium,Rainy,6.11
ORD100238,2023-10-17 21:40:00,Bandra,Borivali,3.4,12,285.42,Yes,AG246,Medium,Clear,10.13
ORD100239,2023-10-20 10:05:00,Borivali,Goregaon,1.3,20,845.6,No,AG279,Medium,Clear,5.08
ORD100240,2023-10-27 07:43:00,Bandra,Colaba,4.73,12,584.0,No,AG244,Low,Clear,10.96
ORD100241,2023-10-10 07:51:00,Andheri,Powai,4.79,15,237.74,Yes,AG101,High,Rainy,17.68
ORD100242,2023-10-07 04:01:00,Powai,Kurla,4.62,12,555.03,No,AG5,Medium,Clear,12.97
